datetime,cm
2022-04-19 04:30:00,166.40802675585283
2022-04-19 04:35:00,166.35690235690237
2022-04-19 04:40:00,166.43097643097644
2022-04-19 04:45:00,166.4314381270903
2022-04-19 04:50:00,166.38795986622074
2022-04-19 04:55:00,166.4180602006689
2022-04-19 05:00:00,166.3783783783784
2022-04-19 05:05:00,166.46822742474916
2022-04-19 05:10:00,166.37458193979933
2022-04-19 05:15:00,166.43624161073825
2022-04-19 05:20:00,166.34113712374582
2022-04-19 05:25:00,166.4
2022-04-19 05:30:00,166.3993288590604
2022-04-19 05:35:00,166.39597315436242
2022-04-19 05:40:00,166.50335570469798
2022-04-19 05:45:00,166.4406779661017
2022-04-19 05:50:00,166.46938775510205
2022-04-19 05:55:00,166.37792642140468
2022-04-19 06:00:00,166.26755852842808
2022-04-19 06:05:00,165.87959866220737
2022-04-19 06:10:00,165.85333333333332
2022-04-19 06:15:00,166.0267558528428
2022-04-19 06:20:00,165.90969899665552
2022-04-19 06:25:00,165.47333333333333
2022-04-19 06:30:00,165.51006711409397
2022-04-19 06:35:00,165.43434343434345
2022-04-19 06:40:00,165.53666666666666
2022-04-19 06:45:00,165.48160535117057
2022-04-19 06:50:00,165.4882154882155
2022-04-19 06:55:00,165.5201342281879
2022-04-19 07:00:00,165.50333333333333
2022-04-19 07:05:00,165.5268456375839
2022-04-19 07:10:00,165.55369127516778
2022-04-19 07:15:00,165.64333333333335
2022-04-19 07:20:00,165.5771812080537
2022-04-19 07:25:00,165.45666666666668
2022-04-19 07:30:00,165.06333333333333
2022-04-19 07:35:00,164.76333333333332
2022-04-19 07:40:00,164.58249158249157
2022-04-19 07:45:00,164.59395973154363
2022-04-19 07:50:00,164.63333333333333
2022-04-19 07:55:00,164.5752508361204
2022-04-19 08:00:00,164.60535117056855
2022-04-19 08:05:00,164.63050847457626
2022-04-19 08:10:00,164.64093959731542
2022-04-19 08:15:00,165.34228187919464
2022-04-19 08:20:00,165.59333333333333
2022-04-19 08:25:00,165.63087248322148
2022-04-19 08:30:00,165.59866220735785
2022-04-19 08:35:00,165.59866220735785
2022-04-19 08:40:00,165.55555555555554
2022-04-19 08:45:00,165.5777027027027
2022-04-19 08:50:00,164.99665551839465
2022-04-19 08:55:00,165.1043771043771
2022-04-19 09:00:00,164.92307692307693
2022-04-19 09:05:00,164.65
2022-04-19 09:10:00,164.63545150501673
2022-04-19 09:15:00,164.65878378378378
2022-04-19 09:20:00,164.65
2022-04-19 09:25:00,164.68707482993196
2022-04-19 09:30:00,164.6744966442953
2022-04-19 09:35:00,164.77333333333334
2022-04-19 09:40:00,165.24496644295303
2022-04-19 09:45:00,166.50836120401337
2022-04-19 09:50:00,166.7859531772575
2022-04-19 09:55:00,166.86622073578596
2022-04-19 10:00:00,166.78523489932886
2022-04-19 10:05:00,166.83612040133778
2022-04-19 10:10:00,166.63545150501673
2022-04-19 10:15:00,166.68243243243242
2022-04-19 10:20:00,166.13087248322148
2022-04-19 10:25:00,165.87
2022-04-19 10:30:00,165.90604026845637
2022-04-19 10:35:00,165.8255033557047
2022-04-19 10:40:00,165.73898305084745
2022-04-19 10:45:00,165.4180602006689
2022-04-19 10:50:00,165.71812080536913
2022-04-19 10:55:00,165.73154362416108
2022-04-19 11:00:00,164.9228187919463
2022-04-19 11:05:00,164.57333333333332
2022-04-19 11:10:00,164.76430976430976
2022-04-19 11:15:00,164.73809523809524
2022-04-19 11:20:00,165.35117056856188
2022-04-19 11:25:00,167.2248322147651
2022-04-19 11:30:00,167.77591973244148
2022-04-19 11:35:00,167.5685618729097
2022-04-19 11:40:00,167.03691275167785
2022-04-19 11:45:00,166.74410774410774
2022-04-19 11:50:00,166.83561643835617
2022-04-19 11:55:00,166.7979797979798
2022-04-19 12:00:00,166.85906040268458
2022-04-19 12:05:00,166.49333333333334
2022-04-19 12:10:00,166.55183946488293
2022-04-19 12:15:00,166.33333333333334
2022-04-19 12:20:00,165.8896321070234
2022-04-19 12:25:00,166.0949152542373
2022-04-19 12:30:00,165.8221476510067
2022-04-19 12:35:00,165.85906040268458
2022-04-19 12:40:00,165.83277591973246
2022-04-19 12:45:00,165.8494983277592
